"industry";"gk1";"softvar";"rule";"name"
"107";"5";"S19";"if (S19 == 0) Echt.Netto_Omzet_minus_accijnzen >= 0.89 * Echt.Productie_SFO + -23.1";"S19_1"
"107";"5";"S19";"if (S19 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.09 * Echt.Productie_SFO + 20.04";"S19_2"
"107";"5";"S20";"if (S20 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.97 * Echt.Netto_Omzet_minus_accijnzen + -4.3";"S20_1"
"107";"5";"S20";"if (S20 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.02 * Echt.Netto_Omzet_minus_accijnzen + 4.7";"S20_2"
"107";"5";"S21";"if (S21 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.89 * Echt.Productie_SFO + -23.35";"S21_1"
"107";"5";"S21";"if (S21 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.09 * Echt.Productie_SFO + 20.96";"S21_2"
"107";"5";"S22";"if (S22 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.68 * Echt.Netto_Omzet_minus_accijnzen + -47.33";"S22_1"
"107";"5";"S22";"if (S22 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.22 * Echt.Netto_Omzet_minus_accijnzen + 52.53";"S22_2"
"107";"5";"S23";"if (S23 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.68 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -48.13";"S23_1"
"107";"5";"S23";"if (S23 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.23 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 52.78";"S23_2"
"107";"5";"S24";"if (S24 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.66 * Echt.Productie_SFO + -58.64";"S24_1"
"107";"5";"S24";"if (S24 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.22 * Echt.Productie_SFO + 62.06";"S24_2"
"107";"5";"S25";"if (S25 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.5 * Echt.Netto_Omzet_minus_accijnzen + -69.36";"S25_1"
"107";"5";"S25";"if (S25 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.31 * Echt.Netto_Omzet_minus_accijnzen + 80.28";"S25_2"
"107";"5";"S26";"if (S26 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.5 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -69.79";"S26_1"
"107";"5";"S26";"if (S26 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.32 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 79.93";"S26_2"
"107";"5";"S27";"if (S27 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.63 * Echt.Omzet_Industrieel_minus_accijnzen + -51.21";"S27_1"
"107";"5";"S27";"if (S27 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.28 * Echt.Omzet_Industrieel_minus_accijnzen + 55.04";"S27_2"
"107";"5";"S28";"if (S28 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.49 * Echt.Productie_SFO + -82.11";"S28_1"
"107";"5";"S28";"if (S28 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.3 * Echt.Productie_SFO + 93.15";"S28_2"
"107";"5";"S29";"if (S29 == 0) Echt.Productie_SFO >= 0.88 * Echt.Netto_Omzet_minus_accijnzen + -21.11";"S29_1"
"107";"5";"S29";"if (S29 == 0) Echt.Productie_SFO <= 1.14 * Echt.Netto_Omzet_minus_accijnzen + 28.06";"S29_2"
"107";"5";"S30";"if (S30 == 0) Echt.Productie_SFO >= 0.88 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -21.58";"S30_1"
"107";"5";"S30";"if (S30 == 0) Echt.Productie_SFO <= 1.15 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 28.46";"S30_2"
"107";"6";"S31";"if (S31 == 0) Echt.Arbeidskosten >= 1.21 * Echt.Lonen + -150.38";"S31_1"
"107";"6";"S31";"if (S31 == 0) Echt.Arbeidskosten <= 1.33 * Echt.Lonen + 196.93";"S31_2"
"107";"6";"S32";"if (S32 == 0) Echt.Lonen >= 0.74 * Echt.Arbeidskosten + -123.98";"S32_1"
"107";"6";"S32";"if (S32 == 0) Echt.Lonen <= 0.82 * Echt.Arbeidskosten + 135.72";"S32_2"
"107";"6";"S33";"if (S33 == 0) Echt.Netto_Omzet_minus_accijnzen >= 1 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -105.53";"S33_1"
"107";"6";"S33";"if (S33 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.01 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 84.75";"S33_2"
"107";"6";"S34";"if (S34 == 0) Echt.Netto_Omzet_minus_accijnzen >= 0.96 * Echt.Productie_SFO + -424.69";"S34_1"
"107";"6";"S34";"if (S34 == 0) Echt.Netto_Omzet_minus_accijnzen <= 1.03 * Echt.Productie_SFO + 347.99";"S34_2"
"107";"6";"S35";"if (S35 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.99 * Echt.Netto_Omzet_minus_accijnzen + -81.13";"S35_1"
"107";"6";"S35";"if (S35 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1 * Echt.Netto_Omzet_minus_accijnzen + 104.49";"S35_2"
"107";"6";"S36";"if (S36 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.96 * Echt.Productie_SFO + -423.36";"S36_1"
"107";"6";"S36";"if (S36 == 0) Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.02 * Echt.Productie_SFO + 370.47";"S36_2"
"107";"6";"S37";"if (S37 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.86 * Echt.Netto_Omzet_minus_accijnzen + -1048.98";"S37_1"
"107";"6";"S37";"if (S37 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.04 * Echt.Netto_Omzet_minus_accijnzen + 1011.97";"S37_2"
"107";"6";"S38";"if (S38 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.87 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -1067.77";"S38_1"
"107";"6";"S38";"if (S38 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.04 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 1013.56";"S38_2"
"107";"6";"S39";"if (S39 == 0) Echt.Omzet_Industrieel_minus_accijnzen >= 0.86 * Echt.Productie_SFO + -1136.53";"S39_1"
"107";"6";"S39";"if (S39 == 0) Echt.Omzet_Industrieel_minus_accijnzen <= 1.04 * Echt.Productie_SFO + 1025.57";"S39_2"
"107";"6";"S40";"if (S40 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.76 * Echt.Netto_Omzet_minus_accijnzen + -1422.67";"S40_1"
"107";"6";"S40";"if (S40 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.02 * Echt.Netto_Omzet_minus_accijnzen + 1665.6";"S40_2"
"107";"6";"S41";"if (S41 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.77 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -1430.2";"S41_1"
"107";"6";"S41";"if (S41 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.03 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 1658.1";"S41_2"
"107";"6";"S42";"if (S42 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.83 * Echt.Omzet_Industrieel_minus_accijnzen + -1065.37";"S42_1"
"107";"6";"S42";"if (S42 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.05 * Echt.Omzet_Industrieel_minus_accijnzen + 1294.58";"S42_2"
"107";"6";"S43";"if (S43 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0.76 * Echt.Productie_SFO + -1483.84";"S43_1"
"107";"6";"S43";"if (S43 == 0) Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.02 * Echt.Productie_SFO + 1655.54";"S43_2"
"107";"6";"S44";"if (S44 == 0) Echt.Productie_SFO >= 0.96 * Echt.Netto_Omzet_minus_accijnzen + -466.08";"S44_1"
"107";"6";"S44";"if (S44 == 0) Echt.Productie_SFO <= 1.05 * Echt.Netto_Omzet_minus_accijnzen + 548.72";"S44_2"
"107";"6";"S45";"if (S45 == 0) Echt.Productie_SFO >= 0.97 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + -485.04";"S45_1"
"107";"6";"S45";"if (S45 == 0) Echt.Productie_SFO <= 1.05 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 547.2";"S45_2"
"107";"7";"S46";"if (S46 == 0) Echt.Arbeidskosten >= 1.22 * Echt.Lonen + -159.48";"S46_1"
