"name";"rule"
"Financieel_Resultaat_Op_Lease_bn";"if (Echt.Financieel_Resultaat_Op_Lease < 0) PS.Financieel_Resultaat_Op_Lease >= 1.05 * Echt.Financieel_Resultaat_Op_Lease - 50"
"Reversals_Impairments_bn";"if (Echt.Reversals_Impairments < 0) SFGO.Reversals_Impairments >= 1.05 * Echt.Reversals_Impairments - 50"
"Saldo_boekwinsten_verliezen_op_Verkopen_iMVA_bn";"if (Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA < 0) SFGO.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA >= 1.05 * Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA - 50"
"Saldo_Uitzonderlijke_Baten_Lasten_bn";"if (Echt.Saldo_Uitzonderlijke_Baten_Lasten < 0) SFGO.Saldo_Uitzonderlijke_Baten_Lasten >= 1.05 * Echt.Saldo_Uitzonderlijke_Baten_Lasten - 50"
"Exploitatie_Overschot_bn";"if (Echt.Exploitatie_Overschot < 0) SFGO.Exploitatie_Overschot >= 1.05 * Echt.Exploitatie_Overschot - 50"
"EBITDA_bn";"if (Echt.EBITDA < 0) SFGO.EBITDA >= 1.05 * Echt.EBITDA - 50"
"Financieel_Resultaat_Op_Lease_bn";"if (Echt.Financieel_Resultaat_Op_Lease < 0) SFGO.Financieel_Resultaat_Op_Lease >= 1.05 * Echt.Financieel_Resultaat_Op_Lease - 50"
"Netto_Omzet_minus_accijnzen_nneg";"Echt.Netto_Omzet_minus_accijnzen >= 0"
"Omzet_Industrieel_minus_accijnzen_nneg";"Echt.Omzet_Industrieel_minus_accijnzen >= 0"
"Omzet_Handel_en_Overig_nneg";"Echt.Omzet_Handel_en_Overig >= 0"
"Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten_nneg";"Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0"
"Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten_nneg";"Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0"
"Omzet_Industriele_Diensten_nneg";"Echt.Omzet_Industriele_Diensten >= 0"
"Werknemers_in_vte_Gemiddeld_nneg";"Echt.Werknemers_in_vte_Gemiddeld >= 0"
"Productie_SFO_nneg";"Echt.Productie_SFO >= 0"
"Subsidies_nneg";"Echt.Subsidies >= 0"
"Afschrijvingen_excl_die_op_operational_lease_nneg";"Echt.Afschrijvingen_excl_die_op_operational_lease >= 0"
"Afschrijvingen_op_operational_Lease_nneg";"Echt.Afschrijvingen_op_operational_Lease >= 0"
"Arbeidskosten_nneg";"Echt.Arbeidskosten >= 0"
"Lonen_nneg";"Echt.Lonen >= 0"
"Sociale_lasten_nneg";"Echt.Sociale_lasten >= 0"
"Pensioenlasten_nneg";"Echt.Pensioenlasten >= 0"
"Overige_personeelskosten_nneg";"Echt.Overige_personeelskosten >= 0"
"Inkoopwaarde_Omzet_nneg";"Echt.Inkoopwaarde_Omzet >= 0"
"Uitbesteed_werk_nneg";"Echt.Uitbesteed_werk >= 0"
"Inkoopwaarde_Omzet_excl_uitbesteed_nneg";"Echt.Inkoopwaarde_Omzet_excl_uitbesteed >= 0"
"Marge_omzet_nneg";"Echt.Marge_omzet >= 0"
"Import_nneg";"Echt.Import >= 0"
"Export_nneg";"Echt.Export >= 0"
"Investeringen_materiele_vaste_activa_INIVA_WIA_nneg";"Echt.Investeringen_materiele_vaste_activa_INIVA_WIA >= 0"
"Investeringen_immateriele_vaste_activa_INIVA_WIA_nneg";"Echt.Investeringen_immateriele_vaste_activa_INIVA_WIA >= 0"
"Investeringen_materiele_vaste_activa_INIVA_SFGO_nneg";"Echt.Investeringen_materiele_vaste_activa_INIVA_SFGO >= 0"
"Investeringen_immateriele_vaste_activa_INIVA_SFGO_nneg";"Echt.Investeringen_immateriele_vaste_activa_INIVA_SFGO >= 0"
"Investeringen_op_lease_INIVA_SFGO_nneg";"Echt.Investeringen_op_lease_INIVA_SFGO >= 0"
"Netto_Omzet_minus_accijnzen_PS_nneg";"PS.Netto_Omzet_minus_accijnzen >= 0"
"Omzet_Industrieel_minus_accijnzen_PS_nneg";"PS.Omzet_Industrieel_minus_accijnzen >= 0"
"Omzet_Handel_en_Overig_PS_nneg";"PS.Omzet_Handel_en_Overig >= 0"
"Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten_PS_nneg";"PS.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0"
"Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten_PS_nneg";"PS.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0"
"Omzet_Industriele_Diensten_PS_nneg";"PS.Omzet_Industriele_Diensten >= 0"
"Werknemers_in_vte_Gemiddeld_PS_nneg";"PS.Werknemers_in_vte_Gemiddeld >= 0"
"Productie_SFO_PS_nneg";"PS.Productie_SFO >= 0"
"Subsidies_PS_nneg";"PS.Subsidies >= 0"
"Afschrijvingen_excl_die_op_operational_lease_PS_nneg";"PS.Afschrijvingen_excl_die_op_operational_lease >= 0"
"Afschrijvingen_op_operational_Lease_PS_nneg";"PS.Afschrijvingen_op_operational_Lease >= 0"
"Arbeidskosten_PS_nneg";"PS.Arbeidskosten >= 0"
"Lonen_PS_nneg";"PS.Lonen >= 0"
"Sociale_lasten_PS_nneg";"PS.Sociale_lasten >= 0"
"Pensioenlasten_PS_nneg";"PS.Pensioenlasten >= 0"
"Overige_personeelskosten_PS_nneg";"PS.Overige_personeelskosten >= 0"
"Inkoopwaarde_Omzet_PS_nneg";"PS.Inkoopwaarde_Omzet >= 0"
"Uitbesteed_werk_PS_nneg";"PS.Uitbesteed_werk >= 0"
"Inkoopwaarde_Omzet_excl_uitbesteed_PS_nneg";"PS.Inkoopwaarde_Omzet_excl_uitbesteed >= 0"
"Marge_omzet_PS_nneg";"PS.Marge_omzet >= 0"
"Omzet_Industrieel_minus_accijnzen_PCM_nneg";"PCM.Omzet_Industrieel_minus_accijnzen >= 0"
"Omzet_Handel_en_Overig_PCM_nneg";"PCM.Omzet_Handel_en_Overig >= 0"
"Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten_PCM_nneg";"PCM.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0"
"Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten_PCM_nneg";"PCM.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten >= 0"
"Omzet_Industriele_Diensten_PCM_nneg";"PCM.Omzet_Industriele_Diensten >= 0"
"Werknemers_in_vte_Gemiddeld_SFGO_nneg";"SFGO.Werknemers_in_vte_Gemiddeld >= 0"
"Productie_SFO_SFGO_nneg";"SFGO.Productie_SFO >= 0"
"Subsidies_SFGO_nneg";"SFGO.Subsidies >= 0"
"Afschrijvingen_excl_die_op_operational_lease_SFGO_nneg";"SFGO.Afschrijvingen_excl_die_op_operational_lease >= 0"
"Afschrijvingen_op_operational_Lease_SFGO_nneg";"SFGO.Afschrijvingen_op_operational_Lease >= 0"
"Arbeidskosten_SFGO_nneg";"SFGO.Arbeidskosten >= 0"
"Import_SFGO_nneg";"SFGO.Import >= 0"
"Export_SFGO_nneg";"SFGO.Export >= 0"
"Investeringen_materiele_vaste_activa_INIVA_SFGO_SFGO_nneg";"SFGO.Investeringen_materiele_vaste_activa_INIVA_SFGO >= 0"
"Investeringen_immateriele_vaste_activa_INIVA_SFGO_SFGO_nneg";"SFGO.Investeringen_immateriele_vaste_activa_INIVA_SFGO >= 0"
"Investeringen_op_lease_INIVA_SFGO_SFGO_nneg";"SFGO.Investeringen_op_lease_INIVA_SFGO >= 0"
"Netto_Omzet_minus_accijnzen_DRT_nneg";"DRT.Netto_Omzet_minus_accijnzen >= 0"
"Netto_Omzet_minus_accijnzen_KICR_nneg";"KICR.Netto_Omzet_minus_accijnzen >= 0"
"Omzet_Industrieel_minus_accijnzen_KICR_nneg";"KICR.Omzet_Industrieel_minus_accijnzen >= 0"
"Omzet_Handel_en_Overig_KICR_nneg";"KICR.Omzet_Handel_en_Overig >= 0"
"Werknemers_in_vte_Gemiddeld_SWL_nneg";"SWL.Werknemers_in_vte_Gemiddeld >= 0"
"Lonen_SWL_nneg";"SWL.Lonen >= 0"
"Import_IH_nneg";"IH.Import >= 0"
"Export_IH_nneg";"IH.Export >= 0"
"Netto_Omzet_minus_accijnzen_WIA_nneg";"WIA.Netto_Omzet_minus_accijnzen >= 0"
"Arbeidskosten_WIA_nneg";"WIA.Arbeidskosten >= 0"
"Lonen_WIA_nneg";"WIA.Lonen >= 0"
"Sociale_lasten_WIA_nneg";"WIA.Sociale_lasten >= 0"
"Pensioenlasten_WIA_nneg";"WIA.Pensioenlasten >= 0"
"Overige_personeelskosten_WIA_nneg";"WIA.Overige_personeelskosten >= 0"
"Inkoopwaarde_Omzet_WIA_nneg";"WIA.Inkoopwaarde_Omzet >= 0"
"Uitbesteed_werk_WIA_nneg";"WIA.Uitbesteed_werk >= 0"
"Inkoopwaarde_Omzet_excl_uitbesteed_WIA_nneg";"WIA.Inkoopwaarde_Omzet_excl_uitbesteed >= 0"
"Marge_omzet_WIA_nneg";"WIA.Marge_omzet >= 0"
"Investeringen_materiele_vaste_activa_INIVA_WIA_WIA_nneg";"WIA.Investeringen_materiele_vaste_activa_INIVA_WIA >= 0"
"Investeringen_immateriele_vaste_activa_INIVA_WIA_WIA_nneg";"WIA.Investeringen_immateriele_vaste_activa_INIVA_WIA >= 0"
"Investeringen_materiele_vaste_activa_INIVA_WIA_INIVA_nneg";"INIVA.Investeringen_materiele_vaste_activa_INIVA_WIA >= 0"
"Investeringen_immateriele_vaste_activa_INIVA_WIA_INIVA_nneg";"INIVA.Investeringen_immateriele_vaste_activa_INIVA_WIA >= 0"
"Investeringen_materiele_vaste_activa_INIVA_SFGO_INIVA_nneg";"INIVA.Investeringen_materiele_vaste_activa_INIVA_SFGO >= 0"
"Investeringen_immateriele_vaste_activa_INIVA_SFGO_INIVA_nneg";"INIVA.Investeringen_immateriele_vaste_activa_INIVA_SFGO >= 0"
"Investeringen_op_lease_INIVA_SFGO_INIVA_nneg";"INIVA.Investeringen_op_lease_INIVA_SFGO >= 0"
"interstat_rule_1";"Echt.Omzet_Industrieel_minus_accijnzen <= Echt.Netto_Omzet_minus_accijnzen"
"interstat_rule_2";"Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= Echt.Netto_Omzet_minus_accijnzen"
"interstat_rule_3";"Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten"
"interstat_rule_4";"Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= Echt.Omzet_Industrieel_minus_accijnzen"
"interstat_rule_5";"Echt.Lonen <= Echt.Arbeidskosten"
"interstat_rule_6";"Echt.Exploitatie_Overschot - Echt.Reversals_Impairments == Echt.EBITDA - Echt.Afschrijvingen_excl_die_op_operational_lease - Echt.Financieel_Resultaat_Op_Lease"
"interstat_rule_7";"Echt.Marge_omzet == Echt.Netto_Omzet_minus_accijnzen - Echt.Inkoopwaarde_Omzet"
"interstat_rule_8";"Echt.Inkoopwaarde_Omzet_excl_uitbesteed == Echt.Inkoopwaarde_Omzet - Echt.Uitbesteed_werk"
"interstat_rule_9";"Echt.Arbeidskosten == Echt.Lonen + Echt.Sociale_lasten + Echt.Pensioenlasten + Echt.Overige_personeelskosten"
