"name";"rule"
"Export_ap";"IH.Export >= 0.95 * Echt.Export - 50"
"Netto_Omzet_minus_accijnzen_ap";"WIA.Netto_Omzet_minus_accijnzen >= 0.95 * Echt.Netto_Omzet_minus_accijnzen - 50"
"Arbeidskosten_ap";"WIA.Arbeidskosten >= 0.95 * Echt.Arbeidskosten - 50"
"Lonen_ap";"WIA.Lonen >= 0.95 * Echt.Lonen - 50"
"Sociale_lasten_ap";"WIA.Sociale_lasten >= 0.95 * Echt.Sociale_lasten - 50"
"Pensioenlasten_ap";"WIA.Pensioenlasten >= 0.95 * Echt.Pensioenlasten - 50"
"Overige_personeelskosten_ap";"WIA.Overige_personeelskosten >= 0.95 * Echt.Overige_personeelskosten - 50"
"Inkoopwaarde_Omzet_ap";"WIA.Inkoopwaarde_Omzet >= 0.95 * Echt.Inkoopwaarde_Omzet - 50"
"Uitbesteed_werk_ap";"WIA.Uitbesteed_werk >= 0.95 * Echt.Uitbesteed_werk - 50"
"Inkoopwaarde_Omzet_excl_uitbesteed_ap";"WIA.Inkoopwaarde_Omzet_excl_uitbesteed >= 0.95 * Echt.Inkoopwaarde_Omzet_excl_uitbesteed - 50"
"Marge_omzet_ap";"WIA.Marge_omzet >= 0.95 * Echt.Marge_omzet - 50"
"Investeringen_materiele_vaste_activa_INIVA_WIA_ap";"WIA.Investeringen_materiele_vaste_activa_INIVA_WIA >= 0.95 * Echt.Investeringen_materiele_vaste_activa_INIVA_WIA - 50"
"Investeringen_immateriele_vaste_activa_INIVA_WIA_ap";"WIA.Investeringen_immateriele_vaste_activa_INIVA_WIA >= 0.95 * Echt.Investeringen_immateriele_vaste_activa_INIVA_WIA - 50"
"Investeringen_materiele_vaste_activa_INIVA_WIA_ap";"INIVA.Investeringen_materiele_vaste_activa_INIVA_WIA >= 0.95 * Echt.Investeringen_materiele_vaste_activa_INIVA_WIA - 50"
"Investeringen_immateriele_vaste_activa_INIVA_WIA_ap";"INIVA.Investeringen_immateriele_vaste_activa_INIVA_WIA >= 0.95 * Echt.Investeringen_immateriele_vaste_activa_INIVA_WIA - 50"
"Investeringen_materiele_vaste_activa_INIVA_SFGO_ap";"INIVA.Investeringen_materiele_vaste_activa_INIVA_SFGO >= 0.95 * Echt.Investeringen_materiele_vaste_activa_INIVA_SFGO - 50"
"Investeringen_immateriele_vaste_activa_INIVA_SFGO_ap";"INIVA.Investeringen_immateriele_vaste_activa_INIVA_SFGO >= 0.95 * Echt.Investeringen_immateriele_vaste_activa_INIVA_SFGO - 50"
"Investeringen_op_lease_INIVA_SFGO_ap";"INIVA.Investeringen_op_lease_INIVA_SFGO >= 0.95 * Echt.Investeringen_op_lease_INIVA_SFGO - 50"
"Reversals_Impairments_ap";"if (Echt.Reversals_Impairments >= 0) PS.Reversals_Impairments >= 0.95 * Echt.Reversals_Impairments - 50"
"Saldo_boekwinsten_verliezen_op_Verkopen_iMVA_ap";"if (Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA >= 0) PS.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA >= 0.95 * Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA - 50"
"Saldo_Uitzonderlijke_Baten_Lasten_ap";"if (Echt.Saldo_Uitzonderlijke_Baten_Lasten >= 0) PS.Saldo_Uitzonderlijke_Baten_Lasten >= 0.95 * Echt.Saldo_Uitzonderlijke_Baten_Lasten - 50"
"Exploitatie_Overschot_ap";"if (Echt.Exploitatie_Overschot >= 0) PS.Exploitatie_Overschot >= 0.95 * Echt.Exploitatie_Overschot - 50"
"EBITDA_ap";"if (Echt.EBITDA >= 0) PS.EBITDA >= 0.95 * Echt.EBITDA - 50"
"Financieel_Resultaat_Op_Lease_ap";"if (Echt.Financieel_Resultaat_Op_Lease >= 0) PS.Financieel_Resultaat_Op_Lease >= 0.95 * Echt.Financieel_Resultaat_Op_Lease - 50"
"Reversals_Impairments_ap";"if (Echt.Reversals_Impairments >= 0) SFGO.Reversals_Impairments >= 0.95 * Echt.Reversals_Impairments - 50"
"Saldo_boekwinsten_verliezen_op_Verkopen_iMVA_ap";"if (Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA >= 0) SFGO.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA >= 0.95 * Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA - 50"
"Saldo_Uitzonderlijke_Baten_Lasten_ap";"if (Echt.Saldo_Uitzonderlijke_Baten_Lasten >= 0) SFGO.Saldo_Uitzonderlijke_Baten_Lasten >= 0.95 * Echt.Saldo_Uitzonderlijke_Baten_Lasten - 50"
"Exploitatie_Overschot_ap";"if (Echt.Exploitatie_Overschot >= 0) SFGO.Exploitatie_Overschot >= 0.95 * Echt.Exploitatie_Overschot - 50"
"EBITDA_ap";"if (Echt.EBITDA >= 0) SFGO.EBITDA >= 0.95 * Echt.EBITDA - 50"
"Financieel_Resultaat_Op_Lease_ap";"if (Echt.Financieel_Resultaat_Op_Lease >= 0) SFGO.Financieel_Resultaat_Op_Lease >= 0.95 * Echt.Financieel_Resultaat_Op_Lease - 50"
"Reversals_Impairments_an";"if (Echt.Reversals_Impairments < 0) PS.Reversals_Impairments <= 0.95 * Echt.Reversals_Impairments + 50"
"Saldo_boekwinsten_verliezen_op_Verkopen_iMVA_an";"if (Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA < 0) PS.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA <= 0.95 * Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA + 50"
"Saldo_Uitzonderlijke_Baten_Lasten_an";"if (Echt.Saldo_Uitzonderlijke_Baten_Lasten < 0) PS.Saldo_Uitzonderlijke_Baten_Lasten <= 0.95 * Echt.Saldo_Uitzonderlijke_Baten_Lasten + 50"
"Exploitatie_Overschot_an";"if (Echt.Exploitatie_Overschot < 0) PS.Exploitatie_Overschot <= 0.95 * Echt.Exploitatie_Overschot + 50"
"EBITDA_an";"if (Echt.EBITDA < 0) PS.EBITDA <= 0.95 * Echt.EBITDA + 50"
"Financieel_Resultaat_Op_Lease_an";"if (Echt.Financieel_Resultaat_Op_Lease < 0) PS.Financieel_Resultaat_Op_Lease <= 0.95 * Echt.Financieel_Resultaat_Op_Lease + 50"
"Reversals_Impairments_an";"if (Echt.Reversals_Impairments < 0) SFGO.Reversals_Impairments <= 0.95 * Echt.Reversals_Impairments + 50"
"Saldo_boekwinsten_verliezen_op_Verkopen_iMVA_an";"if (Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA < 0) SFGO.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA <= 0.95 * Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA + 50"
"Saldo_Uitzonderlijke_Baten_Lasten_an";"if (Echt.Saldo_Uitzonderlijke_Baten_Lasten < 0) SFGO.Saldo_Uitzonderlijke_Baten_Lasten <= 0.95 * Echt.Saldo_Uitzonderlijke_Baten_Lasten + 50"
"Exploitatie_Overschot_an";"if (Echt.Exploitatie_Overschot < 0) SFGO.Exploitatie_Overschot <= 0.95 * Echt.Exploitatie_Overschot + 50"
"EBITDA_an";"if (Echt.EBITDA < 0) SFGO.EBITDA <= 0.95 * Echt.EBITDA + 50"
"Financieel_Resultaat_Op_Lease_an";"if (Echt.Financieel_Resultaat_Op_Lease < 0) SFGO.Financieel_Resultaat_Op_Lease <= 0.95 * Echt.Financieel_Resultaat_Op_Lease + 50"
"Netto_Omzet_minus_accijnzen_bp";"PS.Netto_Omzet_minus_accijnzen <= 1.05 * Echt.Netto_Omzet_minus_accijnzen + 50"
"Omzet_Industrieel_minus_accijnzen_bp";"PS.Omzet_Industrieel_minus_accijnzen <= 1.05 * Echt.Omzet_Industrieel_minus_accijnzen + 50"
"Omzet_Handel_en_Overig_bp";"PS.Omzet_Handel_en_Overig <= 1.05 * Echt.Omzet_Handel_en_Overig + 50"
"Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten_bp";"PS.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.05 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 50"
"Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten_bp";"PS.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.05 * Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten + 50"
"Omzet_Industriele_Diensten_bp";"PS.Omzet_Industriele_Diensten <= 1.05 * Echt.Omzet_Industriele_Diensten + 50"
"Werknemers_in_vte_Gemiddeld_bp";"PS.Werknemers_in_vte_Gemiddeld <= 1.05 * Echt.Werknemers_in_vte_Gemiddeld + 2"
"Productie_SFO_bp";"PS.Productie_SFO <= 1.05 * Echt.Productie_SFO + 50"
"Subsidies_bp";"PS.Subsidies <= 1.05 * Echt.Subsidies + 50"
"Afschrijvingen_excl_die_op_operational_lease_bp";"PS.Afschrijvingen_excl_die_op_operational_lease <= 1.05 * Echt.Afschrijvingen_excl_die_op_operational_lease + 50"
"Afschrijvingen_op_operational_Lease_bp";"PS.Afschrijvingen_op_operational_Lease <= 1.05 * Echt.Afschrijvingen_op_operational_Lease + 50"
"Arbeidskosten_bp";"PS.Arbeidskosten <= 1.05 * Echt.Arbeidskosten + 50"
"Lonen_bp";"PS.Lonen <= 1.05 * Echt.Lonen + 50"
"Sociale_lasten_bp";"PS.Sociale_lasten <= 1.05 * Echt.Sociale_lasten + 50"
"Pensioenlasten_bp";"PS.Pensioenlasten <= 1.05 * Echt.Pensioenlasten + 50"
"Overige_personeelskosten_bp";"PS.Overige_personeelskosten <= 1.05 * Echt.Overige_personeelskosten + 50"
"Inkoopwaarde_Omzet_bp";"PS.Inkoopwaarde_Omzet <= 1.05 * Echt.Inkoopwaarde_Omzet + 50"
"Uitbesteed_werk_bp";"PS.Uitbesteed_werk <= 1.05 * Echt.Uitbesteed_werk + 50"
"Inkoopwaarde_Omzet_excl_uitbesteed_bp";"PS.Inkoopwaarde_Omzet_excl_uitbesteed <= 1.05 * Echt.Inkoopwaarde_Omzet_excl_uitbesteed + 50"
"Marge_omzet_bp";"PS.Marge_omzet <= 1.05 * Echt.Marge_omzet + 50"
"Omzet_Industrieel_minus_accijnzen_bp";"PCM.Omzet_Industrieel_minus_accijnzen <= 1.05 * Echt.Omzet_Industrieel_minus_accijnzen + 50"
"Omzet_Handel_en_Overig_bp";"PCM.Omzet_Handel_en_Overig <= 1.05 * Echt.Omzet_Handel_en_Overig + 50"
"Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten_bp";"PCM.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.05 * Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten + 50"
"Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten_bp";"PCM.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= 1.05 * Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten + 50"
