"name";"rule"
"interstat_rule_1";"Echt.Omzet_Industrieel_minus_accijnzen <= Echt.Netto_Omzet_minus_accijnzen"
"interstat_rule_2";"Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten <= Echt.Netto_Omzet_minus_accijnzen"
"interstat_rule_3";"Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten"
"interstat_rule_4";"Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten <= Echt.Omzet_Industrieel_minus_accijnzen"
"interstat_rule_5";"Echt.Lonen <= Echt.Arbeidskosten"
"interstat_rule_6";"Echt.Exploitatie_Overschot - Echt.Reversals_Impairments == Echt.EBITDA - Echt.Afschrijvingen_excl_die_op_operational_lease - Echt.Financieel_Resultaat_Op_Lease"
"interstat_rule_7";"Echt.Marge_omzet == Echt.Netto_Omzet_minus_accijnzen - Echt.Inkoopwaarde_Omzet"
"interstat_rule_8";"Echt.Inkoopwaarde_Omzet_excl_uitbesteed == Echt.Inkoopwaarde_Omzet - Echt.Uitbesteed_werk"
"interstat_rule_9";"Echt.Arbeidskosten == Echt.Lonen + Echt.Sociale_lasten + Echt.Pensioenlasten + Echt.Overige_personeelskosten"
